"High level industry by variable (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Primary industries","","","","","","","","","Goods-producing industries","","","","","","","","","Service industries","","","","","","","","","All industries","","","","","","","",""
" ","Actual","","","Seasonally adjusted","","","Trend","","","Actual","","","Seasonally adjusted","","","Trend","","","Actual","","","Seasonally adjusted","","","Trend","","","Actual","","","Seasonally adjusted","","","Trend","",""
" ","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued"
"1999M04",80267,130.783345,"..",79867,134.059624,"..",73835,131.929784,"..",297062,820.109988,"..",295021,820.109988,"..",288930,832.533900,"..",1076883,2522.881631,"..",1074472,2522.881631,"..",1055526,2593.376164,"..",1454212,3473.774964,"..",1450296,3473.774964,"..",1417940,3550.777043,".."
"1999M05",70803,128.424187,"..",74085,132.655228,"..",73572,133.084799,"..",288546,848.744724,"..",286291,848.744724,"..",288790,843.049316,"..",1053506,2561.626243,"..",1043691,2561.626243,"..",1054941,2632.604486,"..",1412855,3538.795154,"..",1403125,3538.795154,"..",1417479,3602.109435,".."
"1999M06",65792,121.018592,"..",72828,133.586223,"..",73434,134.095213,"..",287006,870.606083,"..",287943,870.606083,"..",288999,850.086338,"..",1060718,2778.936444,"..",1053849,2778.936444,"..",1055256,2654.214112,"..",1413516,3770.561119,"..",1414855,3770.561119,"..",1418317,3632.597243,".."
"1999M07",66194,122.202759,"..",73201,133.353535,"..",73450,135.231265,"..",286279,832.423979,"..",289757,832.423979,"..",289645,859.271256,"..",1056415,2651.137165,"..",1055410,2651.137165,"..",1056030,2681.549903,"..",1408888,3605.763903,"..",1418521,3605.763903,"..",1419946,3671.409279,".."
"1999M08",67259,128.798361,"..",73039,134.157078,"..",73719,136.437170,"..",285328,854.616069,"..",290636,854.616069,"..",291002,868.333007,"..",1057048,2656.621757,"..",1053409,2656.621757,"..",1057671,2707.628138,"..",1409635,3640.036187,"..",1417243,3640.036187,"..",1422953,3708.962727,".."
"1999M09",69691,132.561105,"..",74406,140.002206,"..",74240,137.707024,"..",286832,881.872652,"..",293183,881.872652,"..",292924,877.700067,"..",1068488,2825.897242,"..",1062596,2825.897242,"..",1060213,2733.485398,"..",1425011,3840.330999,"..",1430364,3840.330999,"..",1427174,3746.691995,".."
"1999M10",72475,135.182504,"..",74582,138.288233,"..",74946,138.977714,"..",289410,846.085338,"..",294719,846.085338,"..",294661,886.046699,"..",1067867,2607.372028,"..",1060564,2607.372028,"..",1063325,2754.127333,"..",1429752,3588.639870,"..",1429888,3588.639870,"..",1432045,3777.962361,".."
"1999M11",79263,141.665303,"..",76344,138.837840,"..",75674,140.263788,"..",296437,869.695906,"..",296298,869.695906,"..",295836,893.740187,"..",1086812,2670.815536,"..",1071336,2670.815536,"..",1066250,2771.769803,"..",1462512,3682.176745,"..",1443788,3682.176745,"..",1436598,3805.163626,".."
"1999M12",86540,171.309118,"..",77253,145.175759,"..",76238,141.489679,"..",302330,1088.611441,"..",296596,1088.611441,"..",296588,899.831680,"..",1082925,3281.978389,"..",1077666,3281.978389,"..",1068303,2784.936873,"..",1471795,4541.898948,"..",1451867,4541.898948,"..",1439948,3825.587949,".."
"2000M01",82552,139.145655,"..",75480,135.059628,"..",76609,142.581375,"..",296886,744.812706,"..",294155,744.812706,"..",297073,903.070856,"..",1026735,2394.599120,"..",1067400,2394.599120,"..",1069604,2790.657511,"..",1406173,3278.557481,"..",1437126,3278.557481,"..",1442354,3834.779365,".."
"2000M02",81709,144.653896,"..",76785,144.786475,"..",76835,143.531261,"..",302379,891.106347,"..",297540,891.106347,"..",297603,903.614935,"..",1050065,2707.946288,"..",1070988,2707.946288,"..",1070637,2791.323450,"..",1434153,3743.706531,"..",1444572,3743.706531,"..",1444465,3835.350020,".."
"2000M03",84126,171.834272,"..",77495,153.592914,"..",76979,144.350620,"..",302484,1020.029898,"..",298673,1020.029898,"..",298277,903.317148,"..",1074745,3148.507205,"..",1071483,3148.507205,"..",1071896,2791.593626,"..",1461355,4340.371375,"..",1448207,4340.371375,"..",1446751,3834.286764,".."
"2000M04",77089,139.247297,"..",76746,142.617258,"..",77110,145.060577,"..",300548,865.675566,"..",298379,865.675566,"..",298923,903.033721,"..",1074288,2602.011623,"..",1071470,2602.011623,"..",1073733,2793.406563,"..",1451925,3606.934486,"..",1447430,3606.934486,"..",1449452,3834.763593,".."
"2000M05",73811,141.968095,"..",77218,146.780092,"..",77218,145.718513,"..",301987,942.261901,"..",299638,942.261901,"..",299224,903.746004,"..",1086675,2911.955111,"..",1076408,2911.955111,"..",1076015,2798.970322,"..",1462473,3996.185107,"..",1452366,3996.185107,"..",1452184,3840.486799,".."
"2000M06",70070,132.632894,"..",77572,146.408499,"..",77281,146.405526,"..",298491,880.489030,"..",299506,880.489030,"..",299086,905.451283,"..",1087813,2747.468720,"..",1081090,2747.468720,"..",1078564,2807.505189,"..",1456374,3760.590644,"..",1458131,3760.590644,"..",1454737,3851.169594,".."
"2000M07",69873,134.802324,"..",77192,146.598434,"..",77267,147.189116,"..",294943,874.892943,"..",298485,874.892943,"..",298632,908.566639,"..",1081683,2692.352659,"..",1080718,2692.352659,"..",1081018,2819.737321,"..",1446499,3702.047926,"..",1456353,3702.047926,"..",1456996,3868.266774,".."
"2000M08",71468,143.823018,"..",77425,150.029197,"..",77271,148.130824,"..",292820,954.361040,"..",298208,954.361040,"..",298390,913.213233,"..",1086457,3044.363274,"..",1082455,3044.363274,"..",1083307,2836.417915,"..",1450745,4142.547332,"..",1458132,4142.547332,"..",1459411,3892.621359,".."
"2000M09",72462,138.618933,"..",77403,146.315130,"..",77416,149.248452,"..",291998,865.178991,"..",298441,865.178991,"..",298866,918.774362,"..",1091377,2699.533913,"..",1085578,2699.533913,"..",1085389,2855.349770,"..",1455837,3703.331837,"..",1461514,3703.331837,"..",1462275,3921.051107,".."
"2000M10",74897,146.427964,"..",77096,149.768969,"..",77723,150.553974,"..",294051,905.223255,"..",299368,905.223255,"..",300106,924.812325,"..",1095002,2788.129615,"..",1087279,2788.129615,"..",1087441,2875.574220,"..",1463950,3839.780834,"..",1463784,3839.780834,"..",1465584,3951.622675,".."
"2000M11",80928,157.344662,"..",78037,154.304910,"..",78182,152.053643,"..",302588,952.054504,"..",302583,952.054504,"..",301507,930.500074,"..",1105898,3058.344546,"..",1090653,3058.344546,"..",1089823,2895.426585,"..",1489414,4167.743712,"..",1471099,4167.743712,"..",1469214,3981.207190,".."
"2000M12",88429,180.569562,"..",78920,152.889409,"..",78719,153.723458,"..",308375,1095.561330,"..",302646,1095.561330,"..",302331,935.019089,"..",1098425,3139.128485,"..",1092974,3139.128485,"..",1092700,2912.817198,"..",1495229,4415.259377,"..",1474923,4415.259377,"..",1472969,4006.313026,".."
"2001M01",87530,160.326006,"..",79901,155.756991,"..",79253,155.550498,"..",305057,856.834269,"..",302256,856.834269,"..",302282,937.331676,"..",1052208,2789.976538,"..",1093327,2789.976538,"..",1096008,2926.089286,"..",1444795,3807.136813,"..",1475871,3807.136813,"..",1476715,4023.846995,".."
"2001M02",84510,154.887372,"..",79488,155.265262,"..",79730,157.517292,"..",306604,894.324494,"..",301753,894.324494,"..",301627,939.071073,"..",1077028,2765.919567,"..",1099002,2765.919567,"..",1099544,2938.894674,"..",1468142,3815.131433,"..",1479523,3815.131433,"..",1480402,4039.258505,".."
"2001M03",86909,180.718845,"..",80335,161.822648,"..",80140,159.561222,"..",302007,942.965969,"..",298187,942.965969,"..",301206,940.795157,"..",1109270,3056.815187,"..",1106160,3056.815187,"..",1103199,2952.493035,"..",1498186,4180.500001,"..",1485162,4180.500001,"..",1484302,4054.697232,".."
"2001M04",80525,157.340751,"..",80235,160.990004,"..",80485,161.645183,"..",301055,897.145399,"..",298723,897.145399,"..",301516,942.938542,"..",1110276,2847.865819,"..",1106607,2847.865819,"..",1106714,2967.897189,"..",1491856,3902.351969,"..",1486189,3902.351969,"..",1488498,4072.005478,".."
"2001M05",76860,157.898687,"..",80437,163.663798,"..",80865,163.736220,"..",307041,1026.412558,"..",304704,1026.412558,"..",302468,945.883132,"..",1119738,3216.505246,"..",1109143,3216.505246,"..",1109952,2986.542550,"..",1503639,4400.816491,"..",1493509,4400.816491,"..",1493065,4093.451192,".."
"2001M06",74290,151.091215,"..",82154,166.494147,"..",81410,165.797649,"..",303596,912.194949,"..",304628,912.194949,"..",303795,949.502831,"..",1120370,2827.256085,"..",1113717,2827.256085,"..",1112875,3005.932220,"..",1498256,3890.542249,"..",1500293,3890.542249,"..",1497833,4116.910415,".."
"2001M07",74206,154.242794,"..",81732,166.743791,"..",82121,167.836604,"..",300948,951.055364,"..",304482,951.055364,"..",305098,954.298026,"..",1115422,2957.153899,"..",1114482,2957.153899,"..",1115514,3026.515473,"..",1490576,4062.452057,"..",1500534,4062.452057,"..",1502390,4143.831668,".."
"2001M08",76367,164.814414,"..",82427,172.092461,"..",82879,169.849748,"..",300812,988.682191,"..",306252,988.682191,"..",305921,959.934938,"..",1123424,3242.323959,"..",1119070,3242.323959,"..",1118015,3046.310443,"..",1500603,4395.820564,"..",1507726,4395.820564,"..",1506437,4172.057314,".."
"2001M09",78031,162.174221,"..",83348,170.945692,"..",83555,171.847233,"..",300101,914.661759,"..",306623,914.661759,"..",306207,966.189465,"..",1125687,2887.309886,"..",1119958,2887.309886,"..",1120760,3063.630810,"..",1503819,3964.145866,"..",1509796,3964.145866,"..",1510264,4199.508094,".."
"2001M10",82811,171.081814,"..",85329,174.934617,"..",84165,173.835399,"..",301056,985.386055,"..",306456,985.386055,"..",306221,973.048578,"..",1133647,3173.401050,"..",1125252,3173.401050,"..",1123960,3079.319826,"..",1517514,4329.868919,"..",1516945,4329.868919,"..",1514448,4226.589762,".."
"2001M11",88295,179.671245,"..",85277,176.063031,"..",84743,175.792749,"..",305359,946.901839,"..",305582,946.901839,"..",306457,979.410844,"..",1140437,3045.454504,"..",1125737,3045.454504,"..",1127573,3090.910806,"..",1534091,4172.027588,"..",1516655,4172.027588,"..",1519393,4249.078462,".."
"2001M12",94284,204.471445,"..",84271,173.408724,"..",85350,177.731202,"..",312862,1148.425595,"..",307283,1148.425595,"..",307320,984.857039,"..",1135787,3359.086052,"..",1130034,3359.086052,"..",1131535,3098.977035,"..",1542933,4711.983092,"..",1522080,4711.983092,"..",1525191,4266.488276,".."
"2002M01",93308,184.378881,"..",84954,179.365721,"..",85950,179.654829,"..",311634,895.420965,"..",308793,895.420965,"..",308959,988.636875,"..",1093724,3036.116820,"..",1135420,3036.116820,"..",1135445,3104.411670,"..",1498666,4115.916666,"..",1529549,4115.916666,"..",1531193,4278.356591,".."
"2002M02",94739,184.098388,"..",89068,184.995089,"..",86486,181.544743,"..",316104,938.669688,"..",311146,938.669688,"..",310892,992.510859,"..",1119437,2956.297347,"..",1143024,2956.297347,"..",1138899,3111.600207,"..",1530280,4079.065423,"..",1543212,4079.065423,"..",1536727,4290.742196,".."
"2002M03",95116,203.978996,"..",88342,183.160109,"..",86935,183.399977,"..",317003,1014.084179,"..",312914,1014.084179,"..",312520,997.065002,"..",1145596,3103.882615,"..",1142420,3103.882615,"..",1142003,3123.196106,"..",1557715,4321.945790,"..",1544404,4321.945790,"..",1541688,4307.075302,".."
"2002M04",87362,181.065359,"..",87142,185.101840,"..",87263,185.198733,"..",316430,1007.582406,"..",313777,1007.582406,"..",313689,1002.458180,"..",1147827,3033.458399,"..",1143170,3033.458399,"..",1144868,3139.791611,"..",1551619,4222.106164,"..",1544576,4222.106164,"..",1545985,4328.429523,".."
"2002M05",83385,194.139963,"..",87356,201.864730,"..",87489,186.912994,"..",316747,1053.399112,"..",314410,1053.399112,"..",314680,1008.875496,"..",1158373,3395.969055,"..",1147569,3395.969055,"..",1147881,3161.641020,"..",1558505,4643.508130,"..",1548459,4643.508130,"..",1550072,4356.161708,".."
"2002M06",78416,166.840910,"..",86645,183.235945,"..",87605,188.510423,"..",314167,977.342298,"..",315215,977.342298,"..",315631,1016.120869,"..",1154912,2981.689225,"..",1148314,2981.689225,"..",1151328,3186.865045,"..",1547495,4125.872433,"..",1549810,4125.872433,"..",1554390,4388.705854,".."
"2002M07",80034,177.752080,"..",87854,191.066545,"..",87633,189.966890,"..",313527,1061.546277,"..",317179,1061.546277,"..",316687,1024.448154,"..",1156907,3325.345038,"..",1156014,3325.345038,"..",1155234,3214.965063,"..",1550468,4564.643395,"..",1560645,4564.643395,"..",1559143,4426.071264,".."
"2002M08",81623,181.832364,"..",87718,189.802950,"..",87658,191.251046,"..",312275,996.438379,"..",317845,996.438379,"..",317732,1032.901196,"..",1167228,3235.183212,"..",1162806,3235.183212,"..",1159376,3241.613147,"..",1561126,4413.453955,"..",1568260,4413.453955,"..",1564288,4463.099043,".."
"2002M09",82662,184.338903,"..",88213,193.655456,"..",87684,192.367912,"..",311598,985.883817,"..",318178,985.883817,"..",318621,1041.015695,"..",1166825,3098.878881,"..",1160720,3098.878881,"..",1163334,3263.953222,"..",1561085,4269.101601,"..",1566809,4269.101601,"..",1569410,4496.058043,".."
"2002M10",85531,190.440907,"..",88213,194.852094,"..",87590,193.347313,"..",314441,1083.563115,"..",319964,1083.563115,"..",319477,1048.385031,"..",1177611,3505.090655,"..",1168871,3505.090655,"..",1166530,3281.431519,"..",1577583,4779.094677,"..",1576906,4779.094677,"..",1573651,4523.348382,".."
"2002M11",89223,191.505601,"..",86204,187.198149,"..",87321,194.198312,"..",319588,1007.018836,"..",320040,1007.018836,"..",320448,1054.283758,"..",1182874,3145.702315,"..",1168687,3145.702315,"..",1169029,3291.529930,"..",1591685,4344.226752,"..",1574943,4344.226752,"..",1576978,4540.994395,".."
"2002M12",96932,231.432118,"..",86776,196.863179,"..",87007,194.940430,"..",326876,1266.673751,"..",321333,1266.673751,"..",321466,1058.765138,"..",1176800,3701.309427,"..",1170330,3701.309427,"..",1171358,3296.066386,"..",1600608,5199.415296,"..",1578781,5199.415296,"..",1580063,4550.279116,".."
"2003M01",97033,202.315834,"..",88301,197.233037,"..",86814,195.556001,"..",325886,958.829560,"..",323041,958.829560,"..",322449,1060.982638,"..",1134281,3138.015610,"..",1176516,3138.015610,"..",1174053,3295.282310,"..",1557200,4299.161004,"..",1588386,4299.161004,"..",1583615,4550.213887,".."
"2003M02",92200,192.478785,"..",86571,193.484171,"..",86839,196.037133,"..",328310,1027.619668,"..",323235,1027.619668,"..",323476,1063.151652,"..",1150303,3135.478158,"..",1175257,3135.478158,"..",1177415,3295.847557,"..",1570813,4355.576611,"..",1585118,4355.576611,"..",1587964,4549.984119,".."
"2003M03",91733,216.164869,"..",85614,195.130724,"..",87140,196.411772,"..",328344,1087.478693,"..",323927,1087.478693,"..",324506,1065.954576,"..",1179956,3291.451560,"..",1176653,3291.451560,"..",1181449,3302.439253,"..",1600033,4595.095122,"..",1586361,4595.095122,"..",1593095,4555.564707,".."
"2003M04",87846,194.356341,"..",87767,199.051047,"..",87647,196.732129,"..",328895,1139.384624,"..",325970,1139.384624,"..",325355,1069.214651,"..",1195007,3526.238280,"..",1189422,3526.238280,"..",1185913,3315.417719,"..",1611748,4859.979245,"..",1603443,4859.979245,"..",1598696,4567.887081,".."
"2003M05",84722,188.669899,"..",88910,196.515253,"..",88187,197.031798,"..",328790,1066.526879,"..",326415,1066.526879,"..",326078,1073.617716,"..",1204143,3365.895376,"..",1193134,3365.895376,"..",1190672,3335.821727,"..",1617655,4621.092154,"..",1607893,4621.092154,"..",1604576,4589.690105,".."
"2003M06",80419,180.024357,"..",88834,197.117809,"..",88584,197.392622,"..",325163,1047.854118,"..",326289,1047.854118,"..",326694,1079.792986,"..",1200407,3225.413099,"..",1193851,3225.413099,"..",1195309,3363.823032,"..",1605989,4453.291574,"..",1608678,4453.291574,"..",1610257,4622.635439,".."
"2003M07",80985,188.285321,"..",88530,201.350266,"..",88789,197.870508,"..",323408,1153.171125,"..",327155,1153.171125,"..",327424,1087.949666,"..",1199514,3647.519626,"..",1198686,3647.519626,"..",1199729,3398.552776,"..",1603907,4988.976072,"..",1614189,4988.976072,"..",1615702,4666.633146,".."
"2003M08",84256,188.146141,"..",90178,195.737815,"..",88814,198.505515,"..",325928,1066.438761,"..",331730,1066.438761,"..",328466,1098.080243,"..",1217003,3405.749586,"..",1212768,3405.749586,"..",1204030,3437.135773,"..",1627187,4660.334488,"..",1634650,4660.334488,"..",1621043,4718.781387,".."
"2003M09",82167,188.753056,"..",87412,197.484090,"..",88717,199.349998,"..",322943,1102.199759,"..",329490,1102.199759,"..",329747,1109.837359,"..",1213389,3372.976199,"..",1206250,3372.976199,"..",1208227,3477.070943,"..",1618499,4663.929014,"..",1623015,4663.929014,"..",1626318,4775.773390,".."
"2003M10",85369,195.251843,"..",88163,199.882662,"..",88598,200.384959,"..",325973,1118.148630,"..",331630,1118.148630,"..",330992,1122.074966,"..",1222763,3692.472575,"..",1214266,3692.472575,"..",1212386,3514.771656,"..",1634105,5005.873048,"..",1633984,5005.873048,"..",1631643,4831.858166,".."
"2003M11",91374,205.095307,"..",88311,199.781372,"..",88534,201.594604,"..",331213,1079.938548,"..",331703,1079.938548,"..",332071,1133.935694,"..",1229008,3378.715418,"..",1215041,3378.715418,"..",1216552,3547.720834,"..",1651595,4663.749273,"..",1635075,4663.749273,"..",1637066,4882.730184,".."
"2003M12",99890,241.286352,"..",89658,206.343772,"..",88499,202.939226,"..",338574,1366.730953,"..",333121,1366.730953,"..",333066,1144.725580,"..",1229349,4061.461731,"..",1222142,4061.461731,"..",1220530,3575.612766,"..",1667813,5669.479036,"..",1645103,5669.479036,"..",1642273,4926.484240,".."
"2004M01",97825,207.323516,"..",88975,202.138828,"..",88478,204.346892,"..",337116,992.314162,"..",334264,992.314162,"..",334187,1152.987800,"..",1182807,3262.614264,"..",1225634,3262.614264,"..",1224455,3595.419346,"..",1617748,4462.251942,"..",1649055,4462.251942,"..",1647373,4957.885187,".."
"2004M02",93345,204.189951,"..",87431,205.274100,"..",88521,205.771789,"..",340369,1116.699012,"..",335209,1116.699012,"..",335494,1161.101087,"..",1198658,3422.279845,"..",1225132,3422.279845,"..",1228615,3612.526980,"..",1632372,4743.168808,"..",1648027,4743.168808,"..",1652772,4984.703316,".."
"2004M03",93658,229.201120,"..",87906,208.371821,"..",88593,207.163101,"..",341583,1274.226954,"..",336909,1274.226954,"..",336882,1169.692392,"..",1235380,3908.578685,"..",1232097,3908.578685,"..",1232815,3630.137143,"..",1670621,5412.006759,"..",1656774,5412.006759,"..",1658317,5011.112072,".."
"2004M04",89369,207.016275,"..",89419,212.484876,"..",88661,208.434783,"..",342008,1141.598747,"..",338850,1141.598747,"..",338312,1178.402464,"..",1246202,3571.462984,"..",1239862,3571.462984,"..",1236811,3647.400066,"..",1677579,4920.078006,"..",1668271,4920.078006,"..",1663820,5036.420823,".."
"2004M05",84401,197.640203,"..",88677,205.964328,"..",88707,209.550353,"..",341915,1166.477956,"..",339404,1166.477956,"..",339837,1187.815611,"..",1250727,3563.000445,"..",1239344,3563.000445,"..",1240449,3665.940516,"..",1677043,4927.118604,"..",1667184,4927.118604,"..",1669065,5063.703887,".."
"2004M06",80589,195.061689,"..",89041,213.358265,"..",88675,210.500894,"..",339793,1247.814969,"..",341084,1247.814969,"..",341529,1197.969588,"..",1252025,3831.375927,"..",1245491,3831.375927,"..",1243630,3687.088128,"..",1672407,5274.252585,"..",1675551,5274.252585,"..",1673796,5094.821486,".."
"2004M07",81849,198.001085,"..",89278,211.057589,"..",88560,211.285698,"..",339778,1151.767281,"..",343826,1151.767281,"..",343217,1208.728341,"..",1248497,3609.678882,"..",1247879,3609.678882,"..",1246528,3710.738064,"..",1670124,4959.447248,"..",1680933,4959.447248,"..",1678113,5130.095164,".."
"2004M08",81968,201.387119,"..",87368,208.166165,"..",88388,211.961237,"..",338434,1233.267391,"..",344528,1233.267391,"..",344718,1220.154093,"..",1248987,3761.879722,"..",1245245,3761.879722,"..",1249427,3737.216605,"..",1669389,5196.534232,"..",1677306,5196.534232,"..",1682296,5170.041430,".."
"2004M09",83555,206.827859,"..",88572,215.762817,"..",88342,212.594346,"..",340024,1246.586018,"..",346649,1246.586018,"..",345935,1231.869375,"..",1262471,3959.923548,"..",1254046,3959.923548,"..",1252759,3765.481629,"..",1686050,5413.337425,"..",1689063,5413.337425,"..",1686896,5212.741999,".."
"2004M10",84839,197.485612,"..",87696,202.173960,"..",88626,213.219476,"..",340459,1169.548475,"..",346162,1169.548475,"..",346990,1243.532062,"..",1264153,3624.504345,"..",1256346,3624.504345,"..",1257139,3794.822599,"..",1689451,4991.538432,"..",1690138,4991.538432,"..",1692839,5256.648510,".."
"2004M11",93005,220.470662,"..",89810,214.127932,"..",89234,213.897546,"..",348027,1272.352297,"..",348323,1272.352297,"..",348254,1254.773224,"..",1276506,3790.880950,"..",1262349,3790.880950,"..",1262420,3825.266853,"..",1717538,5283.703909,"..",1700415,5283.703909,"..",1700079,5300.831481,".."
"2004M12",99630,250.216811,"..",89609,215.244774,"..",89984,214.650156,"..",355409,1498.858847,"..",349898,1498.858847,"..",349938,1264.600790,"..",1274580,4396.764103,"..",1266600,4396.764103,"..",1267911,3856.198570,"..",1729619,6145.839761,"..",1706087,6145.839761,"..",1707761,5343.092064,".."
"2005M01",96389,220.140792,"..",87763,214.279790,"..",90627,215.498245,"..",350918,1069.439461,"..",348040,1069.439461,"..",351748,1271.763601,"..",1217388,3513.977543,"..",1260297,3513.977543,"..",1272978,3884.707794,"..",1664695,4803.557796,"..",1696228,4803.557796,"..",1715018,5378.864342,".."
"2005M02",98565,214.598022,"..",92128,215.171492,"..",90926,216.481316,"..",358877,1214.399504,"..",353600,1214.399504,"..",353271,1278.158745,"..",1262834,3638.386064,"..",1290859,3638.386064,"..",1277107,3915.646023,"..",1720276,5067.383590,"..",1737182,5067.383590,"..",1720967,5415.137624,".."
"2005M03",97220,239.432470,"..",91657,219.772603,"..",90805,217.579412,"..",360700,1415.826932,"..",355804,1415.826932,"..",354336,1283.760678,"..",1290263,4332.688799,"..",1287088,4332.688799,"..",1280209,3949.252318,"..",1748183,5987.948201,"..",1734197,5987.948201,"..",1725249,5452.543169,".."
"2005M04",89764,209.913293,"..",89962,215.850075,"..",90400,218.767246,"..",357701,1230.448144,"..",354389,1230.448144,"..",355080,1288.242860,"..",1285265,3847.764263,"..",1278332,3847.764263,"..",1282711,3982.255936,"..",1732730,5288.125700,"..",1722730,5288.125700,"..",1728263,5488.009695,".."
"2005M05",85009,211.796163,"..",89395,220.874559,"..",89890,220.043435,"..",357932,1316.430066,"..",355218,1316.430066,"..",355512,1292.494476,"..",1293882,3978.307659,"..",1282195,3978.307659,"..",1284895,4015.735331,"..",1736823,5506.533888,"..",1726849,5506.533888,"..",1730402,5524.342518,".."
"2005M06",80452,204.109085,"..",88841,223.135236,"..",89481,221.350423,"..",355119,1316.421606,"..",356596,1316.421606,"..",355624,1296.240348,"..",1294826,4185.177383,"..",1288438,4185.177383,"..",1287115,4047.509070,"..",1730397,5705.708074,"..",1733958,5705.708074,"..",1732319,5559.642589,".."
"2005M07",82004,206.781266,"..",89240,219.599137,"..",89280,222.612638,"..",351073,1238.980200,"..",355310,1238.980200,"..",355476,1299.917026,"..",1290880,3860.442149,"..",1290145,3860.442149,"..",1289783,4076.998830,"..",1723957,5306.203615,"..",1734751,5306.203615,"..",1734683,5594.043075,".."
"2005M08",84011,219.606360,"..",89387,225.681602,"..",89267,223.802862,"..",348514,1382.386713,"..",354950,1382.386713,"..",355210,1304.302579,"..",1294716,4361.479993,"..",1291856,4361.479993,"..",1292757,4105.672153,"..",1727241,5963.473066,"..",1736400,5963.473066,"..",1737430,5629.679280,".."
"2005M09",84913,217.768480,"..",89691,226.845117,"..",89266,224.865990,"..",348011,1236.767271,"..",354653,1236.767271,"..",355073,1308.829064,"..",1306788,4039.956153,"..",1297463,4039.956153,"..",1295415,4130.686065,"..",1739712,5494.491904,"..",1741591,5494.491904,"..",1739841,5662.614378,".."
